storage_system,file_category,file_name,file_size_bytes,file_type,upload_time_sec,upload_speed_mb_sec,retrieval_time_sec,retrieval_speed_mb_sec,upload_success,retrieval_success,download_verified,cpu_usage,memory_usage,timestamp,run_id
HDFS,small,img-sm-1.jpg,127120,.jpg,0.0852,1.4221,0.0652,1.858,True,True,True,18.8,82.4,2025-10-25 12:17:36,1
MinIO,small,img-sm-1.jpg,127120,.jpg,0.018,6.7247,0.0124,9.7886,True,True,True,13.1,82.4,2025-10-25 12:17:38,1
MongoDB,small,img-sm-1.jpg,127120,.jpg,0.2783,0.4356,0.0251,4.822,True,True,True,21.2,83.2,2025-10-25 12:17:40,1
HDFS,small,img-sm-10.png,989436,.png,0.1606,5.875,0.1368,6.8974,True,True,True,27.4,84.1,2025-10-25 12:17:42,1
MinIO,small,img-sm-10.png,989436,.png,0.0897,10.5184,0.0283,33.3365,True,True,True,13.0,83.9,2025-10-25 12:17:44,1
MongoDB,small,img-sm-10.png,989436,.png,0.0626,15.0743,0.0455,20.7379,True,True,True,10.6,83.3,2025-10-25 12:17:46,1
HDFS,small,img-sm-11.png,830176,.png,0.1073,7.3792,0.1029,7.6912,True,True,True,22.2,83.3,2025-10-25 12:17:49,1
MinIO,small,img-sm-11.png,830176,.png,0.0734,10.7866,0.0271,29.2187,True,True,True,19.7,83.4,2025-10-25 12:17:51,1
MongoDB,small,img-sm-11.png,830176,.png,0.0828,9.561,0.0326,24.3157,True,True,True,45.1,83.7,2025-10-25 12:17:53,1
HDFS,medium,img-md-1.png,2230971,.png,0.103,20.6576,0.1967,10.8146,True,True,True,27.4,83.9,2025-10-25 12:17:55,1
MinIO,medium,img-md-1.png,2230971,.png,0.0367,57.9319,0.0442,48.0909,True,True,True,42.3,84.9,2025-10-25 12:17:57,1
MongoDB,medium,img-md-1.png,2230971,.png,0.1096,19.4106,0.1157,18.3898,True,True,True,22.0,85.0,2025-10-25 12:17:59,1
HDFS,medium,img-md-10.png,544361,.png,0.1433,3.6239,0.0745,6.9728,True,True,True,14.3,85.0,2025-10-25 12:18:02,1
MinIO,medium,img-md-10.png,544361,.png,0.0709,7.3225,0.0177,29.3737,True,True,True,17.0,85.4,2025-10-25 12:18:04,1
MongoDB,medium,img-md-10.png,544361,.png,0.0637,8.1474,0.0336,15.4475,True,True,True,22.1,85.0,2025-10-25 12:18:06,1
HDFS,medium,img-md-11.png,134160,.png,0.1354,0.9448,0.1024,1.2491,True,True,True,28.2,84.9,2025-10-25 12:18:08,1
MinIO,medium,img-md-11.png,134160,.png,0.0304,4.213,0.0128,10.0147,True,True,True,12.7,84.7,2025-10-25 12:18:10,1
MongoDB,medium,img-md-11.png,134160,.png,0.039,3.2842,0.0177,7.2387,True,True,True,15.3,84.8,2025-10-25 12:18:12,1
HDFS,large,vid-lg-1.mp4,580577946,.mp4,3.8701,143.0684,13.5593,40.8343,True,True,True,38.5,84.3,2025-10-25 12:18:32,1
MinIO,large,vid-lg-1.mp4,580577946,.mp4,14.7651,37.4993,3.5716,155.0243,True,True,True,31.6,86.8,2025-10-25 12:18:52,1
MongoDB,large,vid-lg-1.mp4,580577946,.mp4,9.5727,57.8395,18.4891,29.9464,True,True,True,41.3,91.2,2025-10-25 12:19:22,1
HDFS,large,vid-lg-2.mp4,1088464301,.mp4,4.9363,210.288,28.4716,36.4588,True,True,True,39.0,82.3,2025-10-25 12:19:58,1
MinIO,large,vid-lg-2.mp4,1088464301,.mp4,8.1124,127.9579,15.0693,68.8847,True,True,True,33.9,86.8,2025-10-25 12:20:23,1
MongoDB,large,vid-lg-2.mp4,1088464301,.mp4,21.3377,48.6483,26.6753,38.9139,True,True,True,37.5,82.7,2025-10-25 12:21:13,1
HDFS,small,img-sm-1.jpg,127120,.jpg,0.5784,0.2096,0.0686,1.7681,True,True,True,23.3,82.4,2025-10-25 12:21:27,2
MinIO,small,img-sm-1.jpg,127120,.jpg,0.0136,8.8814,0.0089,13.695,True,True,True,21.6,82.4,2025-10-25 12:21:29,2
MongoDB,small,img-sm-1.jpg,127120,.jpg,0.1507,0.8042,0.0133,9.1243,True,True,True,27.6,82.3,2025-10-25 12:21:32,2
HDFS,small,img-sm-10.png,989436,.png,0.5342,1.7665,0.0793,11.897,True,True,True,21.1,81.7,2025-10-25 12:21:34,2
MinIO,small,img-sm-10.png,989436,.png,0.0884,10.6689,0.0212,44.496,True,True,True,15.4,80.5,2025-10-25 12:21:36,2
MongoDB,small,img-sm-10.png,989436,.png,0.0633,14.9066,0.0347,27.1769,True,True,True,17.6,76.2,2025-10-25 12:21:38,2
HDFS,small,img-sm-11.png,830176,.png,0.1147,6.9054,0.0808,9.7977,True,True,True,18.2,76.7,2025-10-25 12:21:41,2
MinIO,small,img-sm-11.png,830176,.png,0.0697,11.3591,0.0166,47.5889,True,True,True,22.3,77.4,2025-10-25 12:21:43,2
MongoDB,small,img-sm-11.png,830176,.png,0.0448,17.6722,0.0545,14.5158,True,True,True,13.1,78.7,2025-10-25 12:21:45,2
HDFS,medium,img-md-1.png,2230971,.png,0.0809,26.2855,0.114,18.6587,True,True,True,13.4,78.6,2025-10-25 12:21:47,2
MinIO,medium,img-md-1.png,2230971,.png,0.0312,68.2792,0.0275,77.4878,True,True,True,9.8,78.4,2025-10-25 12:21:49,2
MongoDB,medium,img-md-1.png,2230971,.png,0.0891,23.8787,0.0923,23.0604,True,True,True,13.0,78.3,2025-10-25 12:21:51,2
HDFS,medium,img-md-10.png,544361,.png,0.1089,4.7673,0.0849,6.1163,True,True,True,25.3,78.6,2025-10-25 12:21:54,2
MinIO,medium,img-md-10.png,544361,.png,0.0163,31.8275,0.0357,14.5262,True,True,True,22.5,78.0,2025-10-25 12:21:56,2
MongoDB,medium,img-md-10.png,544361,.png,0.0451,11.5134,0.0333,15.5699,True,True,True,17.4,78.0,2025-10-25 12:21:58,2
HDFS,medium,img-md-11.png,134160,.png,0.11,1.1628,0.056,2.2859,True,True,True,9.0,78.0,2025-10-25 12:22:00,2
MinIO,medium,img-md-11.png,134160,.png,0.0127,10.0728,0.0121,10.5343,True,True,True,14.4,78.4,2025-10-25 12:22:02,2
MongoDB,medium,img-md-11.png,134160,.png,0.0381,3.3554,0.0184,6.9424,True,True,True,12.7,78.8,2025-10-25 12:22:04,2
HDFS,large,vid-lg-1.mp4,580577946,.mp4,2.3085,239.8463,8.0352,68.9072,True,True,True,25.8,79.7,2025-10-25 12:22:16,2
MinIO,large,vid-lg-1.mp4,580577946,.mp4,20.0587,27.6031,3.8879,142.4111,True,True,True,25.0,78.7,2025-10-25 12:22:42,2
MongoDB,large,vid-lg-1.mp4,580577946,.mp4,6.9236,79.9703,8.8354,62.6664,True,True,True,42.7,82.8,2025-10-25 12:23:00,2
HDFS,large,vid-lg-2.mp4,1088464301,.mp4,10.4693,99.151,19.428,53.43,True,True,True,30.0,82.4,2025-10-25 12:23:32,2
MinIO,large,vid-lg-2.mp4,1088464301,.mp4,15.4326,67.2627,11.5698,89.7199,True,True,True,28.8,82.4,2025-10-25 12:24:01,2
MongoDB,large,vid-lg-2.mp4,1088464301,.mp4,28.4594,36.4744,16.7419,62.0027,True,True,True,37.0,82.2,2025-10-25 12:24:48,2
HDFS,small,img-sm-1.jpg,127120,.jpg,0.5187,0.2337,0.0347,3.4937,True,True,True,19.4,79.5,2025-10-25 12:25:01,3
MinIO,small,img-sm-1.jpg,127120,.jpg,0.0098,12.3838,0.0108,11.2608,True,True,True,12.7,79.7,2025-10-25 12:25:03,3
MongoDB,small,img-sm-1.jpg,127120,.jpg,0.1678,0.7225,0.0167,7.274,True,True,True,32.5,80.0,2025-10-25 12:25:06,3
HDFS,small,img-sm-10.png,989436,.png,0.0753,12.5309,0.0759,12.4403,True,True,True,29.0,81.5,2025-10-25 12:25:08,3
MinIO,small,img-sm-10.png,989436,.png,0.0657,14.3681,0.0176,53.6505,True,True,True,39.7,81.7,2025-10-25 12:25:10,3
MongoDB,small,img-sm-10.png,989436,.png,0.0323,29.18,0.0284,33.2288,True,True,True,38.3,80.9,2025-10-25 12:25:12,3
HDFS,small,img-sm-11.png,830176,.png,0.0669,11.8389,0.0666,11.8863,True,True,True,39.0,80.0,2025-10-25 12:25:14,3
MinIO,small,img-sm-11.png,830176,.png,0.0641,12.3608,0.0101,78.7102,True,True,True,30.3,81.6,2025-10-25 12:25:16,3
MongoDB,small,img-sm-11.png,830176,.png,0.0256,30.9741,0.0189,41.8156,True,True,True,19.4,81.4,2025-10-25 12:25:18,3
HDFS,medium,img-md-1.png,2230971,.png,0.0808,26.3342,0.0944,22.528,True,True,True,18.7,80.9,2025-10-25 12:25:20,3
MinIO,medium,img-md-1.png,2230971,.png,0.0538,39.5308,0.0267,79.7281,True,True,True,15.3,80.9,2025-10-25 12:25:22,3
MongoDB,medium,img-md-1.png,2230971,.png,0.1076,19.7654,0.0823,25.8403,True,True,True,13.9,80.5,2025-10-25 12:25:25,3
HDFS,medium,img-md-10.png,544361,.png,0.0746,6.9618,0.0461,11.2649,True,True,True,14.8,81.3,2025-10-25 12:25:27,3
MinIO,medium,img-md-10.png,544361,.png,0.0156,33.2561,0.0502,10.3329,True,True,True,12.0,81.5,2025-10-25 12:25:29,3
MongoDB,medium,img-md-10.png,544361,.png,0.0441,11.7653,0.0279,18.5976,True,True,True,17.8,81.1,2025-10-25 12:25:31,3
HDFS,medium,img-md-11.png,134160,.png,0.4846,0.264,0.0837,1.528,True,True,True,16.3,81.8,2025-10-25 12:25:33,3
MinIO,medium,img-md-11.png,134160,.png,0.0113,11.3709,0.0091,14.0144,True,True,True,16.3,81.1,2025-10-25 12:25:35,3
MongoDB,medium,img-md-11.png,134160,.png,0.0237,5.4082,0.0322,3.9687,True,True,True,17.0,81.6,2025-10-25 12:25:38,3
HDFS,large,vid-lg-1.mp4,580577946,.mp4,3.0066,184.1527,4.519,122.5239,True,True,True,40.6,81.0,2025-10-25 12:25:47,3
MinIO,large,vid-lg-1.mp4,580577946,.mp4,7.9677,69.4907,7.0247,78.8196,True,True,True,23.2,80.7,2025-10-25 12:26:04,3
MongoDB,large,vid-lg-1.mp4,580577946,.mp4,8.0625,68.6736,9.5479,57.9899,True,True,True,40.2,85.8,2025-10-25 12:26:24,3
HDFS,large,vid-lg-2.mp4,1088464301,.mp4,13.315,77.9603,13.2908,78.102,True,True,True,28.4,82.4,2025-10-25 12:26:52,3
MinIO,large,vid-lg-2.mp4,1088464301,.mp4,6.5236,159.1198,13.789,75.2803,True,True,True,35.3,84.3,2025-10-25 12:27:15,3
MongoDB,large,vid-lg-2.mp4,1088464301,.mp4,20.4056,50.8704,20.8024,49.9001,True,True,True,38.2,81.9,2025-10-25 12:27:58,3
HDFS,small,img-sm-1.jpg,127120,.jpg,0.1008,1.2032,0.058,2.0908,True,True,True,15.5,82.1,2025-10-25 12:28:11,4
MinIO,small,img-sm-1.jpg,127120,.jpg,0.0133,9.1067,0.0154,7.8925,True,True,True,15.9,82.2,2025-10-25 12:28:13,4
MongoDB,small,img-sm-1.jpg,127120,.jpg,0.1906,0.6359,0.0199,6.0839,True,True,True,21.7,81.2,2025-10-25 12:28:15,4
HDFS,small,img-sm-10.png,989436,.png,0.0915,10.3126,0.0771,12.2416,True,True,True,22.3,81.2,2025-10-25 12:28:17,4
MinIO,small,img-sm-10.png,989436,.png,0.0845,11.1703,0.025,37.691,True,True,True,27.7,82.0,2025-10-25 12:28:19,4
MongoDB,small,img-sm-10.png,989436,.png,0.0403,23.3981,0.0532,17.7414,True,True,True,20.5,82.9,2025-10-25 12:28:21,4
HDFS,small,img-sm-11.png,830176,.png,0.4787,1.6539,0.0673,11.7578,True,True,True,28.1,82.4,2025-10-25 12:28:24,4
MinIO,small,img-sm-11.png,830176,.png,0.0973,8.1364,0.0191,41.3914,True,True,True,39.2,84.1,2025-10-25 12:28:26,4
MongoDB,small,img-sm-11.png,830176,.png,0.0267,29.6024,0.0402,19.6833,True,True,True,34.2,84.1,2025-10-25 12:28:28,4
HDFS,medium,img-md-1.png,2230971,.png,0.4849,4.3877,0.0509,41.8245,True,True,True,36.4,84.3,2025-10-25 12:28:30,4
MinIO,medium,img-md-1.png,2230971,.png,0.0946,22.4899,0.0145,146.5743,True,True,True,30.0,84.4,2025-10-25 12:28:33,4
MongoDB,medium,img-md-1.png,2230971,.png,0.0671,31.7156,0.0544,39.0833,True,True,True,16.5,84.3,2025-10-25 12:28:35,4
HDFS,medium,img-md-10.png,544361,.png,0.0754,6.8897,0.0352,14.7391,True,True,True,16.9,84.5,2025-10-25 12:28:37,4
MinIO,medium,img-md-10.png,544361,.png,0.0393,13.2225,0.0304,17.0682,True,True,True,18.3,84.4,2025-10-25 12:28:39,4
MongoDB,medium,img-md-10.png,544361,.png,0.0601,8.6345,0.0203,25.5608,True,True,True,18.0,84.1,2025-10-25 12:28:41,4
HDFS,medium,img-md-11.png,134160,.png,0.4721,0.271,0.0968,1.3223,True,True,True,17.8,84.1,2025-10-25 12:28:44,4
MinIO,medium,img-md-11.png,134160,.png,0.0219,5.8354,0.0407,3.1471,True,True,True,31.1,82.7,2025-10-25 12:28:46,4
MongoDB,medium,img-md-11.png,134160,.png,0.0521,2.458,0.0109,11.6859,True,True,True,27.2,76.5,2025-10-25 12:28:48,4
HDFS,large,vid-lg-1.mp4,580577946,.mp4,2.0985,263.8527,4.5579,121.4771,True,True,True,38.1,83.1,2025-10-25 12:28:56,4
MinIO,large,vid-lg-1.mp4,580577946,.mp4,5.7751,95.8745,7.7193,71.7272,True,True,True,24.7,84.0,2025-10-25 12:29:12,4
MongoDB,large,vid-lg-1.mp4,580577946,.mp4,11.2952,49.0193,8.4874,65.2361,True,True,True,38.0,87.2,2025-10-25 12:29:34,4
HDFS,large,vid-lg-2.mp4,1088464301,.mp4,9.0636,114.5291,21.416,48.4703,True,True,True,29.4,82.3,2025-10-25 12:30:06,4
MinIO,large,vid-lg-2.mp4,1088464301,.mp4,9.8358,105.5366,15.3305,67.7109,True,True,True,29.8,83.9,2025-10-25 12:30:34,4
MongoDB,large,vid-lg-2.mp4,1088464301,.mp4,13.9733,74.2874,24.8089,41.8415,True,True,True,36.2,83.3,2025-10-25 12:31:15,4
HDFS,small,img-sm-1.jpg,127120,.jpg,0.0674,1.7996,0.0441,2.7478,True,True,True,17.1,83.6,2025-10-25 12:31:28,5
MinIO,small,img-sm-1.jpg,127120,.jpg,0.0091,13.2995,0.0148,8.1728,True,True,True,13.5,83.6,2025-10-25 12:31:30,5
MongoDB,small,img-sm-1.jpg,127120,.jpg,0.1926,0.6294,0.0142,8.5193,True,True,True,20.1,82.4,2025-10-25 12:31:32,5
HDFS,small,img-sm-10.png,989436,.png,0.4771,1.9777,0.0475,19.8553,True,True,True,16.4,82.2,2025-10-25 12:31:34,5
MinIO,small,img-sm-10.png,989436,.png,0.0715,13.1912,0.0086,109.3148,True,True,True,20.7,82.2,2025-10-25 12:31:36,5
MongoDB,small,img-sm-10.png,989436,.png,0.0251,37.5344,0.0457,20.6423,True,True,True,19.0,82.4,2025-10-25 12:31:38,5
HDFS,small,img-sm-11.png,830176,.png,0.4751,1.6664,0.0654,12.1025,True,True,True,16.4,82.4,2025-10-25 12:31:41,5
MinIO,small,img-sm-11.png,830176,.png,0.068,11.6507,0.0225,35.1919,True,True,True,12.0,82.4,2025-10-25 12:31:43,5
MongoDB,small,img-sm-11.png,830176,.png,0.0785,10.0859,0.1173,6.7514,True,True,True,22.2,82.5,2025-10-25 12:31:45,5
HDFS,medium,img-md-1.png,2230971,.png,0.5137,4.142,0.0624,34.0792,True,True,True,30.8,82.6,2025-10-25 12:31:48,5
MinIO,medium,img-md-1.png,2230971,.png,0.058,36.695,0.0067,315.2759,True,True,True,20.8,82.6,2025-10-25 12:31:50,5
MongoDB,medium,img-md-1.png,2230971,.png,0.0816,26.0734,0.051,41.7023,True,True,True,17.4,78.1,2025-10-25 12:31:52,5
HDFS,medium,img-md-10.png,544361,.png,0.06,8.6538,0.055,9.4396,True,True,True,15.6,74.7,2025-10-25 12:31:54,5
MinIO,medium,img-md-10.png,544361,.png,0.0146,35.5495,0.0088,59.1504,True,True,True,10.6,74.6,2025-10-25 12:31:56,5
MongoDB,medium,img-md-10.png,544361,.png,0.0216,24.0084,0.0263,19.7332,True,True,True,14.5,74.5,2025-10-25 12:31:58,5
HDFS,medium,img-md-11.png,134160,.png,0.049,2.6125,0.0392,3.2656,True,True,True,11.0,74.5,2025-10-25 12:32:00,5
MinIO,medium,img-md-11.png,134160,.png,0.0155,8.2362,0.0149,8.5724,True,True,True,8.3,74.5,2025-10-25 12:32:02,5
MongoDB,medium,img-md-11.png,134160,.png,0.0213,6.0117,0.019,6.7387,True,True,True,8.4,74.5,2025-10-25 12:32:04,5
HDFS,large,vid-lg-1.mp4,580577946,.mp4,1.6635,332.8353,3.8223,144.8574,True,True,True,29.7,80.4,2025-10-25 12:32:12,5
MinIO,large,vid-lg-1.mp4,580577946,.mp4,2.1157,261.7055,3.1349,176.6171,True,True,True,31.9,80.9,2025-10-25 12:32:19,5
MongoDB,large,vid-lg-1.mp4,580577946,.mp4,12.7124,43.5546,8.3788,66.081,True,True,True,32.8,80.5,2025-10-25 12:32:42,5
HDFS,large,vid-lg-2.mp4,1088464301,.mp4,6.7394,154.0263,23.2529,44.6412,True,True,True,25.9,82.5,2025-10-25 12:33:14,5
MinIO,large,vid-lg-2.mp4,1088464301,.mp4,7.8406,132.3927,13.4816,76.997,True,True,True,30.2,84.4,2025-10-25 12:33:38,5
MongoDB,large,vid-lg-2.mp4,1088464301,.mp4,16.2007,64.0738,24.4377,42.477,True,True,True,35.4,81.9,2025-10-25 12:34:21,5
